event_id,step_id,choice_id,line_order,speaker_id,text
event_week_001_night_dark_room,step_event_week_001_night_dark_room_intro,choice_week_001_dark_room_a,0,speaker_abelia,"응. 고마워, 삼촌."
event_week_001_night_dark_room,step_event_week_001_night_dark_room_intro,choice_week_001_dark_room_a,1,speaker_abelia,삼촌이 옆에 있으면 덜 무서워.
event_week_001_night_dark_room,step_event_week_001_night_dark_room_intro,choice_week_001_dark_room_a,2,speaker_narrator,아벨리아는 이불 잡은 손을 천천히 폈다.
event_week_001_night_dark_room,step_event_week_001_night_dark_room_intro,choice_week_001_dark_room_b,0,speaker_abelia,그래?
event_week_001_night_dark_room,step_event_week_001_night_dark_room_intro,choice_week_001_dark_room_b,1,speaker_abelia,근데 나는 아직 안 익숙해.
event_week_001_night_dark_room,step_event_week_001_night_dark_room_intro,choice_week_001_dark_room_b,2,speaker_narrator,아벨리아는 대답을 더 하지 않았다. 이불을 코 끝까지 끌어 올렸다.
event_week_001_night_dark_room,step_event_week_001_night_dark_room_intro,choice_week_001_dark_room_c,0,speaker_abelia,…양?
event_week_001_night_dark_room,step_event_week_001_night_dark_room_intro,choice_week_001_dark_room_c,1,speaker_abelia,우리 집에 양 없는데.
event_week_001_night_dark_room,step_event_week_001_night_dark_room_intro,choice_week_001_dark_room_c,2,speaker_narrator,아벨리아는 잠깐 진지하게 천장을 올려다봤다.
event_week_001_night_parents,step_event_week_001_night_parents_intro,choice_week_001_parents_a,0,speaker_abelia,…진짜?
event_week_001_night_parents,step_event_week_001_night_parents_intro,choice_week_001_parents_a,1,speaker_abelia,그럼 나 잘 자야겠다.
event_week_001_night_parents,step_event_week_001_night_parents_intro,choice_week_001_parents_a,2,speaker_abelia,자는 거 보면 엄마 아빠도 안심하잖아.
event_week_001_night_parents,step_event_week_001_night_parents_intro,choice_week_001_parents_a,3,speaker_narrator,아벨리아는 눈을 감았다. 입가가 아주 살짝 풀려 있었다.
event_week_001_night_parents,step_event_week_001_night_parents_intro,choice_week_001_parents_b,0,speaker_abelia,응.
event_week_001_night_parents,step_event_week_001_night_parents_intro,choice_week_001_parents_b,1,speaker_abelia,삼촌도 모르는 게 있어?
event_week_001_night_parents,step_event_week_001_night_parents_intro,choice_week_001_parents_b,2,speaker_abelia,어른인데.
event_week_001_night_parents,step_event_week_001_night_parents_intro,choice_week_001_parents_b,3,speaker_narrator,아벨리아는 잠깐 천장을 더 보다가 눈을 감았다.
event_week_001_night_parents,step_event_week_001_night_parents_intro,choice_week_001_parents_c,0,speaker_abelia,"...알겠어, 삼촌."
event_week_001_night_parents,step_event_week_001_night_parents_intro,choice_week_001_parents_c,1,speaker_narrator,"아벨리아는 이불 속에서 작게 몸을 웅크렸다. 그날 밤, 잠드는 데 시간이 평소보다 더 걸렸다."
event_week_002_night_mother_resemblance,step_event_week_002_night_mother_resemblance_intro,choice_week_002_mother_resemblance_a,0,speaker_abelia,…진짜?
event_week_002_night_mother_resemblance,step_event_week_002_night_mother_resemblance_intro,choice_week_002_mother_resemblance_a,1,speaker_abelia,그럼 엄마도 나처럼 웃었어?
event_week_002_night_mother_resemblance,step_event_week_002_night_mother_resemblance_intro,choice_week_002_mother_resemblance_a,2,speaker_narrator,"아벨리아는 베개를 끌어안고 작게 따라 웃어보였다. 어색했지만, 멈추지 않았다."
event_week_002_night_mother_resemblance,step_event_week_002_night_mother_resemblance_intro,choice_week_002_mother_resemblance_b,0,speaker_abelia,…응.
event_week_002_night_mother_resemblance,step_event_week_002_night_mother_resemblance_intro,choice_week_002_mother_resemblance_b,1,speaker_abelia,근데 다들 그러는데.
event_week_002_night_mother_resemblance,step_event_week_002_night_mother_resemblance_intro,choice_week_002_mother_resemblance_b,2,speaker_narrator,아벨리아는 더 묻지 않았다. 베개에 얼굴을 절반쯤 묻었다.
event_week_002_night_mother_resemblance,step_event_week_002_night_mother_resemblance_intro,choice_week_002_mother_resemblance_c,0,speaker_abelia,…내 코?
event_week_002_night_mother_resemblance,step_event_week_002_night_mother_resemblance_intro,choice_week_002_mother_resemblance_c,1,speaker_narrator,자기 코를 만져본다
event_week_002_night_mother_resemblance,step_event_week_002_night_mother_resemblance_intro,choice_week_002_mother_resemblance_c,2,speaker_abelia,아빠 코는 어떻게 생겼었는데?
event_week_002_night_mother_resemblance,step_event_week_002_night_mother_resemblance_intro,choice_week_002_mother_resemblance_c,3,speaker_narrator,"아벨리아는 진지하게 자기 코를 손가락으로 눌렀다 떼었다 했다. 아빠의 코를 떠올려보려는 듯, 잠깐 천장을 봤다."
event_week_002_night_tea_party,step_event_week_002_night_tea_party_intro,choice_week_002_tea_party_a,0,speaker_abelia,다행이다! 사실 조금 무서웠어
event_week_002_night_tea_party,step_event_week_002_night_tea_party_intro,choice_week_002_tea_party_a,1,speaker_narrator,아벨리아는 안도한 듯 길게 숨을 내쉬었다. 이불을 어깨까지 올렸다.
event_week_002_night_tea_party,step_event_week_002_night_tea_party_intro,choice_week_002_tea_party_b,0,speaker_abelia,…리본이?
event_week_002_night_tea_party,step_event_week_002_night_tea_party_intro,choice_week_002_tea_party_b,1,speaker_abelia,어디가? 어느 쪽이?
event_week_002_night_tea_party,step_event_week_002_night_tea_party_intro,choice_week_002_tea_party_b,2,speaker_narrator,아벨리아는 갑자기 이불 밖으로 나와서 리본을 찾으려다 그만 두었다.
event_week_002_night_tea_party,step_event_week_002_night_tea_party_intro,choice_week_002_tea_party_c,0,speaker_abelia,...
event_week_002_night_tea_party,step_event_week_002_night_tea_party_intro,choice_week_002_tea_party_c,1,speaker_abelia,그럼 오늘은 잘 못 한 거야?
event_week_002_night_tea_party,step_event_week_002_night_tea_party_intro,choice_week_002_tea_party_c,2,speaker_narrator,아벨리아는 작게 입을 다물었다. 이불 끝을 다시 만지작거렸다.
event_week_003_night_father_book,step_event_week_003_night_father_book_intro,choice_week_003_father_book_a,0,speaker_abelia,정말?
event_week_003_night_father_book,step_event_week_003_night_father_book_intro,choice_week_003_father_book_a,1,speaker_abelia,어려운 단어 나오면 삼촌한테 물어봐도 돼?
event_week_003_night_father_book,step_event_week_003_night_father_book_intro,choice_week_003_father_book_a,2,speaker_narrator,아벨리아는 책을 가슴에 끌어안았다. 표지의 이름을 손가락으로 천천히 따라 그렸다.
event_week_003_night_father_book,step_event_week_003_night_father_book_intro,choice_week_003_father_book_b,0,speaker_abelia,…네.
event_week_003_night_father_book,step_event_week_003_night_father_book_intro,choice_week_003_father_book_b,1,speaker_narrator,아벨리아는 책을 원래 자리에 꽂았다. 하지만 자리에서 쉽게 일어나지 않았다.
event_week_003_night_father_book,step_event_week_003_night_father_book_intro,choice_week_003_father_book_c,0,speaker_abelia,…아빠가요?
event_week_003_night_father_book,step_event_week_003_night_father_book_intro,choice_week_003_father_book_c,1,speaker_abelia,어디요? 어디 자국이요?
event_week_003_night_father_book,step_event_week_003_night_father_book_intro,choice_week_003_father_book_c,2,speaker_narrator,아벨리아는 책을 다시 펼쳐서 표지를 등불 가까이 가져갔다. 한참 동안 자국을 찾았다.
event_week_003_night_carriage_crest,step_event_week_003_night_carriage_crest_intro,choice_week_003_carriage_crest_a,0,speaker_abelia,…자작가.
event_week_003_night_carriage_crest,step_event_week_003_night_carriage_crest_intro,choice_week_003_carriage_crest_a,1,speaker_abelia,집들마다 그림이 다르구나!
event_week_003_night_carriage_crest,step_event_week_003_night_carriage_crest_intro,choice_week_003_carriage_crest_a,2,speaker_narrator,아벨리아는 창문에 가까이 다가갔다. 마차가 사라진 방향을 한참 봤다.
event_week_003_night_carriage_crest,step_event_week_003_night_carriage_crest_intro,choice_week_003_carriage_crest_b,0,speaker_abelia,"…응, 알겠어."
event_week_003_night_carriage_crest,step_event_week_003_night_carriage_crest_intro,choice_week_003_carriage_crest_b,1,speaker_narrator,아벨리아는 창문에서 한 발 물러섰다. 그날 밤 잠들 때까지 마차 얘기는 더 꺼내지 않았다.
event_week_003_night_carriage_crest,step_event_week_003_night_carriage_crest_intro,choice_week_003_carriage_crest_c,0,speaker_abelia,…아빠가?
event_week_003_night_carriage_crest,step_event_week_003_night_carriage_crest_intro,choice_week_003_carriage_crest_c,1,speaker_abelia,왜? 싸웠어?
event_week_003_night_carriage_crest,step_event_week_003_night_carriage_crest_intro,choice_week_003_carriage_crest_c,2,speaker_narrator,아벨리아는 진지하게 옆 영지의 자작가가 무슨 잘못을 했길래 아빠가 싫어했을지 추측해보는 것 같았다.
event_week_004_night_other_kids,step_event_week_004_night_other_kids_intro,choice_week_004_other_kids_a,0,speaker_abelia,…조금.
event_week_004_night_other_kids,step_event_week_004_night_other_kids_intro,choice_week_004_other_kids_a,1,speaker_abelia,근데 삼촌 손도 따뜻해.
event_week_004_night_other_kids,step_event_week_004_night_other_kids_intro,choice_week_004_other_kids_a,2,speaker_narrator,아벨리아는 옆에 앉은 손을 슬쩍 잡았다. 잡고 한참 놓지 않았다.
event_week_004_night_other_kids,step_event_week_004_night_other_kids_intro,choice_week_004_other_kids_b,0,speaker_abelia,…응.
event_week_004_night_other_kids,step_event_week_004_night_other_kids_intro,choice_week_004_other_kids_b,1,speaker_narrator,아벨리아는 더 말하지 않았다. 노을이 다 질 때까지 정원만 봤다.
event_week_004_night_other_kids,step_event_week_004_night_other_kids_intro,choice_week_004_other_kids_c,0,speaker_abelia,삼촌도?
event_week_004_night_other_kids,step_event_week_004_night_other_kids_intro,choice_week_004_other_kids_c,1,speaker_abelia,지금은 왜 안 잡아?
event_week_004_night_other_kids,step_event_week_004_night_other_kids_intro,choice_week_004_other_kids_c,2,speaker_narrator,아벨리아는 진지하게 어른의 손 잡기 규칙을 고민하는 것 같았다.
event_week_004_night_uncle_pride,step_event_week_004_night_uncle_pride_intro,choice_week_004_uncle_pride_a,0,speaker_abelia,진짜?
