week_id,direction,variant_order,priority,weight,nemo_state,context,interaction_ids,required_flag_ids,blocked_flag_ids
week_001,Anxious,1,1,1,None,"나만 혼자 남으면 어떡해? 삼촌, 가지 마…",,,
week_001,Anxious,2,1,1,None,조용하면 무서워. 아무도 없는 것 같아.,,,
week_001,Anxious,3,1,1,None,"나 때문에 다 아파지는 것 같아. 엄마도, 아빠도…",,,
,,,,,,,,,
week_002,Innocent,1,1,1,None,착하게 있으면 삼촌이 칭찬해주겠지? 그치?,,,
week_002,Innocent,2,1,1,None,삼촌도 나 보고 예쁘다고 웃어주면 좋겠다.,,,
week_002,Innocent,3,1,1,None,맛있는 과자 있으면 삼촌도 줄래!,,,
week_002,Clever,1,1,1,None,"어른들은 내가 모르는 줄 알지만, 난 다 알아!",,,
week_002,Clever,2,1,1,None,슬픈 표정 지으면 안 돼. 오늘은 손님이 오니까.,,,
week_002,Clever,3,1,1,None,내가 먼저 웃으면 어른들도 나한테 잘해주겠지?,,,
week_002,Curious,1,1,1,None,숲에는 진짜 요정이 살아? 나도 만날래!,,,
week_002,Curious,2,1,1,None,다과회는 뭐 하는 거야? 빨리 보고 싶어!,,,
week_002,Curious,3,1,1,None,성 밖에는 뭐가 있을까? 정말 궁금해!,,,
week_002,Cautious,1,1,1,None,인사는 천천히 해야 해. 틀리면 부끄러우니까.,,,
week_002,Cautious,2,1,1,None,조심조심 걸어야 해. 난 백작 영애니까!,,,
week_002,Cautious,3,1,1,None,오늘은 안 뛸래. 옷이 더러워지면 안 되잖아.,,,
week_002,Compliant,1,1,1,None,마리가 하라는 대로 하면 괜찮겠지? 응.,,,
week_002,Compliant,2,1,1,None,삼촌이 정해주는 대로 할래. 난 착한 아이니까.,,,
week_002,Compliant,3,1,1,None,어른들 말씀 듣는 게 제일 좋은 거랬어.,,,
week_002,Defiant,1,1,1,None,왜 나만 가만히 있어야 해? 심심하단 말이야!,,,
week_002,Defiant,2,1,1,None,다과회 안 하고 싶어. 그냥 나가서 놀래!,,,
week_002,Defiant,3,1,1,None,왜 마리 마음대로 내 옷을 정해? 내 옷인데!,,,
week_002,Stable,1,1,1,None,조금 떨려도 삼촌만 보면 괜찮아질 거야. 응.,,,
week_002,Stable,2,1,1,None,삼촌이 옆에 있으니까 하나도 안 무서워!,,,
week_002,Stable,3,1,1,None,오늘은 울지 않을게.,,,
week_002,Anxious,1,1,1,None,사람들이 나를 이상하게 보면 어떡하지? 무서워.,,,
week_002,Anxious,2,1,1,None,나만 혼자 남으면 어떡해? 너무 무서워…,,,
week_002,Anxious,3,1,1,None,"아빠, 보고 싶어…",,,
,,,,,,,,,
week_003,Innocent,1,1,1,None,삼촌한테 오늘 예쁜 그림 보여주고 칭찬받을래.,,,
